datetime,demand_mw,solar_mw,wind_mw,renewable_mw,coal_mw,gas_available_mw,gas_used_mw,unserved_mw,net_load_mw,renewable_pct,lng_price_usd,gas_cost_inr_mwh,hourly_cost_inr,carbon_tonnes,month,month_name,hour,season,time_of_day,day_of_week,hydro_mw
2024-01-01 00:00:00,71139.3,0.0,4860.7,4860.7,40486.1,3655.0,3655.0,22137.5,25792.5,6.83,10.8,7665.0,1445337458.0,34989.52,1,Jan,0,Winter,Night,Monday,3198.7
2024-01-01 01:00:00,68989.5,0.0,6084.1,6084.1,38974.9,3655.0,3655.0,20275.6,23930.6,8.82,10.8,7665.0,1330295536.0,33750.34,1,Jan,1,Winter,Night,Monday,2944.7
2024-01-01 02:00:00,68574.1,434.0,3668.9,4102.9,36508.5,3655.0,3655.0,24307.6,27962.6,5.98,10.8,7665.0,1566793402.0,31727.95,1,Jan,2,Winter,Night,Monday,3259.1
2024-01-01 03:00:00,71472.4,0.0,2119.1,2119.1,36315.4,3655.0,3655.0,29382.9,33037.9,2.96,10.8,7665.0,1870881922.0,31569.6,1,Jan,3,Winter,Night,Monday,3609.2
2024-01-01 04:00:00,67488.9,251.4,2993.9,3245.3,34615.4,3655.0,3655.0,25973.2,29628.2,4.81,10.8,7665.0,1662562546.0,30175.57,1,Jan,4,Winter,Night,Monday,2906.3
2024-01-01 05:00:00,76571.8,0.0,3996.7,3996.7,34590.5,3655.0,3655.0,34329.6,37984.6,5.22,10.8,7665.0,2163891880.0,30155.16,1,Jan,5,Winter,Night,Monday,2906.3
2024-01-01 06:00:00,72088.2,88.7,2315.7,2404.4,38191.4,3655.0,3655.0,27837.3,31492.3,3.34,10.8,7665.0,1782278362.0,33107.89,1,Jan,6,Winter,Morning,Monday,3631.7
2024-01-01 07:00:00,74442.8,5136.9,2720.1,7857.0,41144.6,3655.0,3655.0,21786.2,25441.2,10.55,10.8,7665.0,1425709097.0,35529.49,1,Jan,7,Winter,Morning,Monday,3307.0
2024-01-01 08:00:00,79049.3,9582.2,4155.8,13738.0,34998.3,3655.0,3655.0,26657.9,30312.9,17.38,10.8,7665.0,1704488392.0,30489.57,1,Jan,8,Winter,Morning,Monday,2812.2
2024-01-01 09:00:00,90543.8,13312.7,1301.5,14614.3,37833.7,3655.0,3655.0,34440.8,38095.8,16.14,10.8,7665.0,2177699739.0,32814.6,1,Jan,9,Winter,Morning,Monday,3217.0
