timestamp,station,temperature_c,wind_speed_kmh,precipitation_mm
2021-02-14 00:00:00,SYNTHETIC_BENCHMARK,-13.0,18,0.0
2021-02-14 01:00:00,SYNTHETIC_BENCHMARK,-12.6,19,0.0
2021-02-14 02:00:00,SYNTHETIC_BENCHMARK,-12.1,20,0.0
2021-02-14 03:00:00,SYNTHETIC_BENCHMARK,-11.7,21,0.0
2021-02-14 04:00:00,SYNTHETIC_BENCHMARK,-11.2,22,0.0
2021-02-14 05:00:00,SYNTHETIC_BENCHMARK,-10.8,23,0.0
2021-02-14 06:00:00,SYNTHETIC_BENCHMARK,-10.3,24,0.0
2021-02-14 07:00:00,SYNTHETIC_BENCHMARK,-9.8,25,0.0
2021-02-14 08:00:00,SYNTHETIC_BENCHMARK,-9.4,18,1.5
2021-02-14 09:00:00,SYNTHETIC_BENCHMARK,-8.9,19,1.5
2021-02-14 10:00:00,SYNTHETIC_BENCHMARK,-8.5,20,1.5
2021-02-14 11:00:00,SYNTHETIC_BENCHMARK,-8.1,21,1.5
2021-02-14 12:00:00,SYNTHETIC_BENCHMARK,-7.6,22,1.5
2021-02-14 13:00:00,SYNTHETIC_BENCHMARK,-7.1,23,1.5
2021-02-14 14:00:00,SYNTHETIC_BENCHMARK,-6.7,24,1.5
2021-02-14 15:00:00,SYNTHETIC_BENCHMARK,-6.2,25,1.5
2021-02-14 16:00:00,SYNTHETIC_BENCHMARK,-5.8,18,1.5
2021-02-14 17:00:00,SYNTHETIC_BENCHMARK,-5.3,19,1.5
2021-02-14 18:00:00,SYNTHETIC_BENCHMARK,-4.9,20,1.5
2021-02-14 19:00:00,SYNTHETIC_BENCHMARK,-4.4,21,1.5
2021-02-14 20:00:00,SYNTHETIC_BENCHMARK,-4.0,22,1.5
2021-02-14 21:00:00,SYNTHETIC_BENCHMARK,-3.5,23,0.0
2021-02-14 22:00:00,SYNTHETIC_BENCHMARK,-3.1,24,0.0
2021-02-14 23:00:00,SYNTHETIC_BENCHMARK,-2.7,25,0.0
2021-02-15 00:00:00,SYNTHETIC_BENCHMARK,-2.2,18,0.0
2021-02-15 01:00:00,SYNTHETIC_BENCHMARK,-1.8,19,0.0
2021-02-15 02:00:00,SYNTHETIC_BENCHMARK,-1.3,20,0.0
2021-02-15 03:00:00,SYNTHETIC_BENCHMARK,-0.8,21,0.0
2021-02-15 04:00:00,SYNTHETIC_BENCHMARK,-0.4,22,0.0
2021-02-15 05:00:00,SYNTHETIC_BENCHMARK,0.1,23,0.0
2021-02-15 06:00:00,SYNTHETIC_BENCHMARK,0.5,24,0.0
2021-02-15 07:00:00,SYNTHETIC_BENCHMARK,1.0,25,0.0
2021-02-15 08:00:00,SYNTHETIC_BENCHMARK,1.4,18,0.0
2021-02-15 09:00:00,SYNTHETIC_BENCHMARK,1.8,19,0.0
2021-02-15 10:00:00,SYNTHETIC_BENCHMARK,2.3,20,0.0
2021-02-15 11:00:00,SYNTHETIC_BENCHMARK,2.8,21,0.0
2021-02-15 12:00:00,SYNTHETIC_BENCHMARK,3.2,22,0.0
