timestamp,demand_mw
2021-02-14 00:00:00,61000
2021-02-14 01:00:00,62200
2021-02-14 02:00:00,63400
2021-02-14 03:00:00,64600
2021-02-14 04:00:00,65800
2021-02-14 05:00:00,67000
2021-02-14 06:00:00,68200
2021-02-14 07:00:00,69400
2021-02-14 08:00:00,70600
2021-02-14 09:00:00,71500
2021-02-14 10:00:00,72400
2021-02-14 11:00:00,73300
2021-02-14 12:00:00,74200
2021-02-14 13:00:00,75100
2021-02-14 14:00:00,76000
2021-02-14 15:00:00,76900
2021-02-14 16:00:00,77800
2021-02-14 17:00:00,78700
2021-02-14 18:00:00,79600
2021-02-14 19:00:00,78900
2021-02-14 20:00:00,78200
2021-02-14 21:00:00,77500
2021-02-14 22:00:00,76800
2021-02-14 23:00:00,76100
2021-02-15 00:00:00,75400
2021-02-15 01:00:00,74700
2021-02-15 02:00:00,74000
2021-02-15 03:00:00,73100
2021-02-15 04:00:00,72200
2021-02-15 05:00:00,71300
2021-02-15 06:00:00,70400
2021-02-15 07:00:00,69500
2021-02-15 08:00:00,68600
2021-02-15 09:00:00,67700
2021-02-15 10:00:00,66800
2021-02-15 11:00:00,65900
2021-02-15 12:00:00,65000
